Date,Close
,8766.T
2017-01-04,1241.5322265625
2017-01-05,1255.167236328125
2017-01-06,1241.5322265625
2017-01-10,1213.505126953125
2017-01-11,1214.7674560546875
2017-01-12,1191.0325927734375
2017-01-13,1203.4052734375
2017-01-16,1183.4580078125
2017-01-17,1180.4276123046875
2017-01-18,1180.9327392578125
2017-01-19,1185.9827880859375
2017-01-20,1215.02001953125
2017-01-23,1196.0823974609375
2017-01-24,1173.8626708984375
2017-01-25,1177.650390625
2017-01-26,1213.0
2017-01-27,1231.4322509765625
2017-01-30,1206.9398193359375
2017-01-31,1194.5675048828125
2017-02-01,1194.31494140625
2017-02-02,1188.002685546875
2017-02-03,1194.5675048828125
2017-02-06,1195.830078125
2017-02-07,1188.002685546875
2017-02-08,1195.5775146484375
2017-02-09,1191.7901611328125
2017-02-10,1218.0499267578125
2017-02-13,1226.8870849609375
2017-02-14,1217.0399169921875
2017-02-15,1267.03466796875
2017-02-16,1295.061767578125
2017-02-17,1283.699462890625
2017-02-20,1284.962158203125
2017-02-21,1298.091796875
2017-02-22,1289.7593994140625
2017-02-23,1285.4669189453125
2017-02-24,1272.842041015625
2017-02-27,1233.70458984375
2017-02-28,1242.037353515625
2017-03-01,1261.984619140625
2017-03-02,1269.3070068359375
2017-03-03,1269.5595703125
2017-03-06,1249.8646240234375
2017-03-07,1252.13720703125
2017-03-08,1252.6419677734375
2017-03-09,1247.0872802734375
2017-03-10,1281.4268798828125
2017-03-13,1286.7294921875
2017-03-14,1303.1417236328125
2017-03-15,1308.6966552734375
2017-03-16,1296.32421875
2017-03-17,1290.76953125
2017-03-21,1278.1444091796875
2017-03-22,1215.2724609375
2017-03-23,1220.827392578125
2017-03-24,1235.9774169921875
2017-03-27,1207.445068359375
2017-03-28,1222.342529296875
2017-03-29,1234.005859375
2017-03-30,1217.08740234375
2017-03-31,1203.758056640625
2017-04-03,1204.783447265625
2017-04-04,1194.2735595703125
2017-04-05,1184.7890625
2017-04-06,1161.206298828125
2017-04-07,1163.512939453125
2017-04-10,1175.3046875
2017-04-11,1187.608642578125
2017-04-12,1172.997802734375
2017-04-13,1166.3328857421875
2017-04-14,1160.1806640625
2017-04-17,1155.5665283203125
2017-04-18,1161.206298828125
2017-04-19,1153.259765625
2017-04-20,1164.2821044921875
2017-04-21,1182.48193359375
2017-04-24,1182.73828125
2017-04-25,1203.758056640625
2017-04-26,1211.9605712890625
2017-04-27,1211.9605712890625
2017-04-28,1202.732666015625
2017-05-01,1210.9351806640625
2017-05-02,1217.8565673828125
2017-05-08,1248.360595703125
2017-05-09,1259.639404296875
2017-05-10,1267.0732421875
2017-05-11,1274.25048828125
2017-05-12,1262.459228515625
2017-05-15,1266.560546875
2017-05-16,1262.9718017578125
2017-05-17,1251.4366455078125
2017-05-18,1218.113037109375
2017-05-19,1237.5946044921875
2017-05-22,1229.904296875
2017-05-23,1209.3973388671875
2017-05-24,1222.4705810546875
2017-05-25,1211.9605712890625
2017-05-26,1204.783447265625
2017-05-29,1203.2452392578125
2017-05-30,1198.11865234375
2017-05-31,1204.783447265625
2017-06-01,1222.21435546875
2017-06-02,1256.8194580078125
2017-06-05,1246.8226318359375
2017-06-06,1235.2874755859375
2017-06-07,1235.7999267578125
2017-06-08,1257.0760498046875
2017-06-09,1251.692626953125
2017-06-12,1270.1490478515625
2017-06-13,1277.32666015625
2017-06-14,1273.738037109375
